"title","year","actors","director","genres","plot","mpaarating","release","runtime","metascore","imdbid","imdbrating","imdbvotes","tomatoconsensus","tomatometer","tomatoreviews"
"Passengers (2016)","2016","Jennifer Lawrence, Chris Pratt, Michael Sheen, Andy Garcia","Morten Tyldum","Adventure, Drama, Romance","A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.","PG-13","21 Dec 2016","","","tt1355644","","","","",""
"Assassin's Creed","2016","Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson","Justin Kurzel","Action, Adventure, Fantasy","When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.","PG-13","21 Dec 2016","140.0","","tt2094766","","","","",""
"Sing","2016","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","Christophe Lourdelet, Garth Jennings","Animation, Comedy, Drama","A koala named Buster Moon has one final chance to restore his theater to its former glory by producing the world's greatest singing competition.","PG","21 Dec 2016","108.0","57.0","tt3470600","73.0","2172.0","","80.0","10.0"
"Rogue One: A Star Wars Story","2016","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Gareth Edwards","Action, Adventure, Sci-Fi","The Rebellion makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.","PG-13","16 Dec 2016","133.0","","tt3748528","77.0","1753.0","","",""
"Moana","2016","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","Ron Clements, Don Hall, John Musker, Chris Williams","Animation, Adventure, Comedy","A young woman uses her navigational talents to set sail for a fabled island. Joining her on the adventure is her hero, the legendary demi-god Maui.","PG","23 Nov 2016","103.0","81.0","tt3521164","84.0","1264.0","With a title character as three-dimensional as its lush animation and a story that adds fresh depth to Disney's time-tested formula, Moana is truly a family-friendly adventure for the ages.","97.0","159.0"
"Why Him?","2016","Zoey Deutch, James Franco, Bryan Cranston, Megan Mullally","John Hamburg","Comedy","A dad forms a bitter rivalry with his daughter's young rich boyfriend.","R","23 Dec 2016","111.0","","tt4501244","","","","",""
"Office Christmas Party","2016","Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston","Josh Gordon, Will Speck","Comedy","When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...","R","09 Dec 2016","105.0","42.0","tt1711525","60.0","7446.0","","",""
"La La Land","2016","Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters","Damien Chazelle","Comedy, Drama, Musical","A jazz pianist falls for an aspiring actress in Los Angeles.","PG-13","16 Dec 2016","128.0","92.0","tt3783958","89.0","6291.0","La La Land breathes new life into a bygone genre with thrillingly assured direction, powerful performances, and an irresistible excess of heart.","96.0","72.0"
"Fantastic Beasts and Where To Find Them","2016","Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck","David Yates","Adventure, Family, Fantasy","The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.","PG-13","18 Nov 2016","133.0","66.0","tt3183660","79.0","75816.0","Fantastic Beasts and Where to Find Them draws on Harry Potter's rich mythology to deliver a spinoff that dazzles with franchise-building magic all its own.","75.0","239.0"
"Collateral Beauty","2016","Will Smith, Edward Norton, Kate Winslet, Michael Peña","David Frankel","Drama","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.","PG-13","16 Dec 2016","97.0","23.0","tt4682786","59.0","2341.0","","",""
