"title","author_id","author_name","author_friends","author_followers","author_favorites","author_statuses","author_verified","tweet_id","tweet_date","tweet_datetime","tweet_favorites","tweet_retweets","tweet_retweet","tweet_mention","tweet_text"
"rogue one",197114304,"John Lamb",479,852,654,1043,0,812447685152219137,"2016-12-23","2016-12-23 23:12:57",1,0,0,0,"rogue one the goat star wars film"
"rogue one",102094857,"Adam Feuerstein",354,59105,1664,54697,1,812447670858055680,"2016-12-23","2016-12-23 23:12:53",12,0,0,0,"my only disappointment with rogue one was at very end, missed opportunity to link even better to ep. iv with another r2d2 cameo."
"rogue one",2610025216,"SuperDude",346,417,2691,15648,0,812447651497148416,"2016-12-23","2016-12-23 23:12:49",0,0,0,0,"gonna go see rogue one by myself since people are frauds"
"rogue one",44881418,"Nadine P.",367,347,1699,19187,0,812447646547787776,"2016-12-23","2016-12-23 23:12:48",0,0,0,0,"fuck. i just watched rogue one yesterday and almost screamed when i saw princess leia. hope carrie fisher pulls through. :("
"rogue one",1430337871,"Daniel Roman",148,158,7064,1432,0,812447606320353280,"2016-12-23","2016-12-23 23:12:38",3,0,0,0,"whos tryna see rogue one with me tonight?"
"rogue one",113493948,"Vinny Dhaliwal",90,34,579,3980,0,812447585398947841,"2016-12-23","2016-12-23 23:12:33",0,0,0,0,"rogue one the force awakens. easiest decision ever."
"rogue one",712189524,"Aaron Planson",433,184,153,13059,0,812447566457667584,"2016-12-23","2016-12-23 23:12:29",1,0,0,0,"the main reason i liked rogue one was because that said the name of the film during the film 😉👌🏻👏🏻"
"rogue one",3494030115,"Shit On Wheels",115,278,28638,34853,0,812447549353328640,"2016-12-23","2016-12-23 23:12:24",1,0,0,1,"what is this like the most to least fuckable rogue one characters list"
"rogue one",2779076468,"Brandon Flaherty",52,32,293,539,0,812447533003894785,"2016-12-23","2016-12-23 23:12:21",2,0,0,0,"i was wrong about rogue one. awesome movie"
"rogue one",341238596,"Ethan~Michael",1156,913,3694,7280,0,812447495368404994,"2016-12-23","2016-12-23 23:12:12",1,0,0,0,"vader in rogue one is badass."
